"","Views","Title","Department","Details","Amount","Date","Place","ID"
"142","227 views","
                      I Paid Rs. 1000 to Passport in Kollam.
                    ","Passport","Police Verification for Passport","Paid INR 1,000
                        ","November 01, 2015","Kollam
                      , Kerala","81430"
"143","169 views","
                      I Paid Rs. 8120303241 to Municipal Services in Tikamgarh.
                    ","Municipal Services","Birth Certificate","Paid INR 8,12,03,03,241
                        ","November 01, 2015","Tikamgarh
                      , Madhya Pradesh","81429"
"144","177 views","
                      I Paid Rs. 12345 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 12,345
                        ","November 01, 2015","Abohar
                      , Punjab","81424"
"145","160 views","
                      I Paid Rs. 50 to Municipal Services in Imphal.
                    ","Municipal Services","Birth Certificate","Paid INR 50
                        ","November 01, 2015","Imphal
                      , Manipur","81421"
"146","134 views","
                      I Paid Rs. 100 to Municipal Services in Adari.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 01, 2015","Adari
                      , Uttar Pradesh","81419"
"147","172 views","
                      I Paid Rs. 10000 to Police in Kolar.
                    ","Police","Filing FIR","Paid INR 10,000
                        ","November 01, 2015","Kolar
                      , Karnataka","81417"
"148","123 views","
                      I Paid Rs. 4552 to Municipal Services in Achhnera.
                    ","Municipal Services","Birth Certificate","Paid INR 4,552
                        ","November 01, 2015","Achhnera
                      , Uttar Pradesh","81407"
"149","143 views","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Achhnera.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 100
                        ","November 01, 2015","Achhnera
                      , Uttar Pradesh","81393"
"150","190 views","
                      I paid Rs 300 to police conistable at his home in Tirupati
                    ","Passport","Police Clearance Certificate","Paid INR 300
                        ","November 01, 2015","Tirupati
                      , Andhra Pradesh","81392"
"151","132 views","
                      I Paid Rs. 100 to Municipal Services in Kolkata.
                    ","Municipal Services","Birth Certificate","Paid INR 100
                        ","November 01, 2015","Kolkata
                      , West Bengal","81391"
"152","202 views","
                      I Paid Rs. 1000 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 1,000
                        ","October 31, 2015","Bangalore
                      , Karnataka","81383"
"153","164 views","
                      I Paid Rs. 1122 to Municipal Services in Jhalawar.
                    ","Municipal Services","Birth Certificate","Paid INR 1,122
                        ","October 31, 2015","Jhalawar
                      , Rajasthan","81382"
"154","178 views","
                      I Paid Rs. 600 to Municipal Services in Goalpara.
                    ","Municipal Services","Birth Certificate","Paid INR 600
                        ","October 31, 2015","Goalpara
                      , Assam","81377"
"155","210 views","
                      I Paid Rs. 400 to Others in Chittoor.
                    ","Others","Others","Paid INR 400
                        ","October 31, 2015","Chittoor
                      , Andhra Pradesh","81374"
"156","202 views","
                      Bribe for passport verification 
                    ","Police","Police Clearance Certificate","Paid INR 200
                        ","October 31, 2015","Mumbai
                      , Maharashtra","81367"
"157","189 views","
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Gurgaon.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 1,000
                        ","October 31, 2015","Gurgaon
                      , Haryana","81366"
"158","174 views","
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 100
                        ","October 31, 2015","Abohar
                      , Punjab","81364"
"159","170 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Abhayapuri.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 31, 2015","Abhayapuri
                      , Assam","81363"
"160","165 views","
                      I Paid Rs. 200 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 200
                        ","October 31, 2015","Bangalore
                      , Karnataka","81361"
"161","150 views","
                      I Paid Rs. 100000 to Municipal Services in Lucknow.
                    ","Municipal Services","Birth Certificate","Paid INR 1,00,000
                        ","October 31, 2015","Lucknow
                      , Uttar Pradesh","81354"
"162","178 views","
                      I Paid Rs. 500 to Passport in Anantapur.
                    ","Passport","Police Verification for Passport","Paid INR 500
                        ","October 31, 2015","Anantapur
                      , Andhra Pradesh","81343"
"163","171 views","
                      I Paid Rs. 50000 to Municipal Services in Mumbai.
                    ","Municipal Services","Birth Certificate","Paid INR 50,000
                        ","October 31, 2015","Mumbai
                      , Maharashtra","81340"
"164","149 views","
                      I Paid Rs. 13 to Municipal Services in Ahmedabad.
                    ","Municipal Services","Birth Certificate","Paid INR 13
                        ","October 31, 2015","Ahmedabad
                      , Gujarat","81338"
"165","167 views","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Gorakhpur.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 100
                        ","October 31, 2015","Gorakhpur
                      , Uttar Pradesh","81336"
"166","153 views","
                      I Paid Rs. 10000 to Municipal Services in Bareilly.
                    ","Municipal Services","Birth Certificate","Paid INR 10,000
                        ","October 31, 2015","Bareilly
                      , Uttar Pradesh","81333"
